Territorio;Nivel educativo;Sexo;Titularidad del centro;Año/Curso;value
Castilla-La Mancha;FP Básica y Grado Medio;Total;Centros privados;2018-2019;579
Castilla-La Mancha;Total FP;Hombres;Centros públicos;2015-2016;405
Castilla-La Mancha;Total FP;Total;Centros privados;2017-2018;489
Castilla-La Mancha;FP Grado Medio y FP Grado Superior;Mujeres;Todos los centros;2018-2019;475
Castilla-La Mancha;Total FP;Mujeres;Todos los centros;2016-2017;624
Castilla-La Mancha;FP Básica y Grado Medio;Mujeres;Centros privados;2015-2016;213
Castilla-La Mancha;Total FP;Mujeres;Centros públicos;2018-2019;241
Castilla-La Mancha;Total FP;Mujeres;Todos los centros;2017-2018;339
Castilla-La Mancha;Total FP;Total;Todos los centros;2015-2016;1611
Castilla-La Mancha;FP Grado Medio;Total;Todos los centros;2015-2016;761
Castilla-La Mancha;FP Grado Medio y FP Grado Superior;Total;Todos los centros;2018-2019;1412
Castilla-La Mancha;FP Básica y Grado Medio;Total;Centros públicos;2016-2017;357
Castilla-La Mancha;FP Grado Medio y FP Grado Superior;Hombres;Todos los centros;2016-2017;865
Castilla-La Mancha;FP Básica;Total;Centros privados;2018-2019;157
Castilla-La Mancha;FP Básica y Grado Medio;Total;Todos los centros;2018-2019;994
Castilla-La Mancha;FP Básica y Grado Medio;Hombres;Centros públicos;2017-2018;95
Castilla-La Mancha;FP Grado Superior;Total;Centros privados;2016-2017;208
Castilla-La Mancha;FP Básica;Total;Centros públicos;2018-2019;91
Castilla-La Mancha;FP Grado Medio;Mujeres;Centros privados;2015-2016;201
Castilla-La Mancha;FP Grado Superior;Hombres;Centros públicos;2016-2017;196
Castilla-La Mancha;FP Básica;Total;Todos los centros;2018-2019;248
Castilla-La Mancha;FP Grado Superior;Total;Centros públicos;2015-2016;541
Castilla-La Mancha;FP Grado Superior;Total;Centros públicos;2016-2017;411
Castilla-La Mancha;Total FP;Hombres;Centros privados;2016-2017;637
Castilla-La Mancha;FP Grado Medio y FP Grado Superior;Total;Todos los centros;2016-2017;1463
Castilla-La Mancha;FP Básica;Hombres;Centros públicos;2017-2018;25
Castilla-La Mancha;Total FP;Total;Centros privados;2016-2017;888
Castilla-La Mancha;FP Grado Superior;Hombres;Centros privados;2018-2019;123
Castilla-La Mancha;FP Grado Medio;Mujeres;Centros públicos;2018-2019;76
Castilla-La Mancha;FP Grado Medio y FP Grado Superior;Hombres;Centros privados;2017-2018;255
Castilla-La Mancha;FP Básica;Mujeres;Centros públicos;2018-2019;9
Castilla-La Mancha;FP Grado Superior;Mujeres;Centros privados;2017-2018;53
Castilla-La Mancha;Total FP;Total;Todos los centros;2018-2019;1660
Castilla-La Mancha;Total FP;Total;Centros públicos;2015-2016;813
Castilla-La Mancha;FP Básica y Grado Medio;Total;Centros públicos;2018-2019;415
Castilla-La Mancha;FP Básica;Total;Centros públicos;2015-2016;25
Castilla-La Mancha;FP Grado Medio y FP Grado Superior;Hombres;Todos los centros;2017-2018;457
Castilla-La Mancha;FP Básica y Grado Medio;Total;Centros privados;2016-2017;680
Castilla-La Mancha;FP Grado Superior;Mujeres;Centros privados;2018-2019;92
Castilla-La Mancha;FP Grado Medio;Total;Todos los centros;2018-2019;746
Castilla-La Mancha;Total FP;Hombres;Centros públicos;2017-2018;227
Castilla-La Mancha;FP Básica y Grado Medio;Mujeres;Centros públicos;2015-2016;115
Castilla-La Mancha;FP Básica;Mujeres;Centros privados;2016-2017;18
Castilla-La Mancha;FP Básica;Mujeres;Centros privados;2017-2018;1
Castilla-La Mancha;FP Básica;Hombres;Todos los centros;2016-2017;167
Castilla-La Mancha;Total FP;Mujeres;Centros privados;2017-2018;177
Castilla-La Mancha;Total FP;Mujeres;Centros privados;2018-2019;245
Castilla-La Mancha;FP Básica;Hombres;Centros privados;2015-2016;103
Castilla-La Mancha;FP Grado Medio y FP Grado Superior;Hombres;Centros públicos;2015-2016;385
Castilla-La Mancha;FP Básica;Hombres;Todos los centros;2015-2016;123
Extremadura;FP Grado Medio y FP Grado Superior;Mujeres;Centros privados;2017-2018;0
Extremadura;Total FP;Total;Centros privados;2018-2019;0
Extremadura;Total FP;Hombres;Centros privados;2017-2018;0
Extremadura;FP Grado Medio y FP Grado Superior;Total;Centros públicos;2016-2017;150
Extremadura;FP Grado Medio y FP Grado Superior;Mujeres;Todos los centros;2016-2017;64
Extremadura;FP Básica;Mujeres;Todos los centros;2018-2019;0
Extremadura;FP Grado Medio;Hombres;Centros privados;2016-2017;0
Extremadura;FP Básica;Mujeres;Centros privados;2017-2018;0
Extremadura;FP Grado Medio y FP Grado Superior;Mujeres;Centros privados;2016-2017;0
Extremadura;FP Básica y Grado Medio;Total;Todos los centros;2016-2017;0
Extremadura;FP Grado Superior;Hombres;Todos los centros;2015-2016;98
Extremadura;FP Básica y Grado Medio;Hombres;Centros privados;2015-2016;0
Extremadura;FP Básica;Mujeres;Centros públicos;2016-2017;0
Extremadura;FP Grado Medio;Total;Centros públicos;2016-2017;0
Extremadura;FP Grado Superior;Total;Todos los centros;2016-2017;150
Extremadura;FP Grado Medio;Mujeres;Centros privados;2017-2018;0
Extremadura;FP Básica;Hombres;Centros privados;2017-2018;0
Extremadura;FP Básica;Total;Todos los centros;2015-2016;0
Extremadura;Total FP;Mujeres;Centros privados;2018-2019;0
Extremadura;FP Grado Medio;Mujeres;Centros públicos;2015-2016;0
Extremadura;FP Grado Medio y FP Grado Superior;Mujeres;Todos los centros;2015-2016;53
Extremadura;FP Grado Medio y FP Grado Superior;Hombres;Centros privados;2018-2019;0
Extremadura;FP Grado Superior;Hombres;Centros privados;2017-2018;0
Extremadura;FP Básica;Mujeres;Centros privados;2018-2019;0
Extremadura;FP Grado Medio;Hombres;Centros públicos;2016-2017;0
Extremadura;FP Grado Medio y FP Grado Superior;Total;Todos los centros;2015-2016;151
Extremadura;FP Grado Medio;Hombres;Todos los centros;2018-2019;0
Extremadura;FP Básica y Grado Medio;Mujeres;Centros públicos;2016-2017;0
Extremadura;FP Grado Medio;Total;Todos los centros;2015-2016;0
Extremadura;FP Grado Superior;Total;Centros públicos;2017-2018;201
Extremadura;FP Grado Medio y FP Grado Superior;Total;Centros privados;2015-2016;0
Extremadura;Total FP;Mujeres;Centros públicos;2018-2019;92
Extremadura;FP Grado Superior;Mujeres;Centros privados;2015-2016;0
Extremadura;FP Básica;Hombres;Todos los centros;2017-2018;0
Extremadura;FP Grado Medio y FP Grado Superior;Mujeres;Centros públicos;2017-2018;90
Extremadura;FP Grado Superior;Hombres;Centros públicos;2018-2019;121
Extremadura;FP Grado Superior;Hombres;Todos los centros;2018-2019;121
Extremadura;FP Grado Medio y FP Grado Superior;Hombres;Todos los centros;2015-2016;98
Extremadura;Total FP;Total;Centros públicos;2016-2017;150
Extremadura;FP Grado Medio;Hombres;Todos los centros;2016-2017;0
Extremadura;FP Grado Superior;Total;Centros privados;2018-2019;0
Extremadura;FP Grado Medio y FP Grado Superior;Mujeres;Centros públicos;2018-2019;92
Extremadura;FP Básica y Grado Medio;Total;Centros públicos;2018-2019;0
Extremadura;FP Básica;Total;Centros públicos;2017-2018;0
Extremadura;FP Básica y Grado Medio;Hombres;Centros privados;2018-2019;0
Extremadura;FP Grado Medio;Hombres;Centros privados;2018-2019;0
Extremadura;FP Básica;Mujeres;Todos los centros;2017-2018;0
Extremadura;Total FP;Hombres;Todos los centros;2016-2017;86
Extremadura;FP Grado Superior;Total;Centros privados;2015-2016;0
Extremadura;Total FP;Hombres;Centros públicos;2015-2016;98
Extremadura;FP Básica;Total;Todos los centros;2018-2019;0
Extremadura;FP Grado Medio y FP Grado Superior;Mujeres;Centros públicos;2015-2016;53
Extremadura;FP Básica y Grado Medio;Mujeres;Centros privados;2017-2018;0
Extremadura;FP Grado Superior;Mujeres;Centros públicos;2017-2018;90
Extremadura;FP Grado Medio;Mujeres;Centros públicos;2016-2017;0
Extremadura;FP Grado Superior;Total;Centros privados;2016-2017;0
Extremadura;FP Grado Medio;Mujeres;Todos los centros;2015-2016;0
Extremadura;FP Grado Medio y FP Grado Superior;Total;Todos los centros;2018-2019;213
Extremadura;FP Básica y Grado Medio;Total;Centros privados;2018-2019;0
Extremadura;Total FP;Mujeres;Centros públicos;2016-2017;64
Extremadura;Total FP;Hombres;Todos los centros;2018-2019;121
Extremadura;FP Básica y Grado Medio;Total;Todos los centros;2018-2019;0
Extremadura;FP Grado Medio y FP Grado Superior;Total;Todos los centros;2016-2017;150
Extremadura;Total FP;Total;Todos los centros;2017-2018;201
Extremadura;FP Básica;Hombres;Centros privados;2016-2017;0
Extremadura;Total FP;Total;Centros públicos;2015-2016;151
Extremadura;FP Grado Superior;Hombres;Todos los centros;2017-2018;111
Extremadura;FP Básica;Mujeres;Todos los centros;2015-2016;0
Extremadura;FP Básica;Mujeres;Centros públicos;2017-2018;0
Extremadura;FP Básica y Grado Medio;Hombres;Centros privados;2016-2017;0
Extremadura;FP Grado Superior;Mujeres;Todos los centros;2017-2018;90
Extremadura;FP Grado Superior;Hombres;Centros públicos;2017-2018;111
Extremadura;FP Grado Medio y FP Grado Superior;Mujeres;Todos los centros;2017-2018;90
Extremadura;Total FP;Hombres;Centros públicos;2016-2017;86
Extremadura;FP Grado Medio;Hombres;Centros privados;2017-2018;0
Extremadura;FP Básica y Grado Medio;Hombres;Todos los centros;2017-2018;0
Extremadura;FP Grado Medio y FP Grado Superior;Mujeres;Todos los centros;2018-2019;92
Extremadura;Total FP;Mujeres;Todos los centros;2016-2017;64
Extremadura;FP Grado Medio;Hombres;Todos los centros;2015-2016;0
Extremadura;FP Grado Medio y FP Grado Superior;Hombres;Centros privados;2017-2018;0
Extremadura;FP Grado Superior;Hombres;Centros privados;2015-2016;0
Extremadura;FP Grado Medio y FP Grado Superior;Hombres;Centros privados;2016-2017;0
Extremadura;FP Básica;Mujeres;Centros privados;2015-2016;0
Extremadura;Total FP;Total;Centros públicos;2017-2018;201
Extremadura;FP Básica y Grado Medio;Hombres;Centros públicos;2018-2019;0
Extremadura;Total FP;Mujeres;Centros privados;2015-2016;0
Extremadura;FP Grado Medio;Total;Centros privados;2015-2016;0
Extremadura;FP Básica y Grado Medio;Total;Centros públicos;2016-2017;0
Extremadura;FP Básica y Grado Medio;Hombres;Centros públicos;2015-2016;0
Extremadura;FP Básica;Total;Centros privados;2015-2016;0
Extremadura;FP Grado Medio;Total;Todos los centros;2016-2017;0
Extremadura;FP Básica;Total;Todos los centros;2016-2017;0
Extremadura;FP Grado Superior;Mujeres;Todos los centros;2018-2019;92
Extremadura;FP Grado Medio;Mujeres;Todos los centros;2018-2019;0
Extremadura;Total FP;Total;Todos los centros;2016-2017;150
Extremadura;FP Grado Medio;Mujeres;Centros privados;2015-2016;0
Extremadura;FP Grado Superior;Mujeres;Todos los centros;2015-2016;53
Extremadura;FP Grado Medio;Mujeres;Centros privados;2016-2017;0
Extremadura;FP Grado Medio y FP Grado Superior;Hombres;Todos los centros;2016-2017;86
Extremadura;FP Básica y Grado Medio;Total;Centros públicos;2017-2018;0
Extremadura;Total FP;Total;Centros privados;2015-2016;0
Extremadura;FP Básica;Mujeres;Centros públicos;2018-2019;0
Extremadura;Total FP;Hombres;Todos los centros;2015-2016;98
Extremadura;FP Grado Medio;Mujeres;Centros públicos;2017-2018;0
Extremadura;FP Básica;Hombres;Centros públicos;2015-2016;0
Extremadura;FP Grado Superior;Total;Todos los centros;2015-2016;151
Extremadura;FP Grado Medio;Hombres;Centros públicos;2017-2018;0
Extremadura;FP Grado Medio;Hombres;Todos los centros;2017-2018;0
Extremadura;FP Grado Medio;Total;Centros públicos;2018-2019;0
Extremadura;Total FP;Mujeres;Centros privados;2017-2018;0
Extremadura;FP Básica y Grado Medio;Mujeres;Todos los centros;2016-2017;0
Extremadura;FP Grado Superior;Mujeres;Centros públicos;2016-2017;64
Extremadura;Total FP;Total;Todos los centros;2018-2019;213
Extremadura;FP Grado Medio;Total;Centros públicos;2017-2018;0
Extremadura;FP Grado Superior;Mujeres;Centros públicos;2015-2016;53
Extremadura;FP Grado Medio y FP Grado Superior;Total;Centros públicos;2015-2016;151
Extremadura;FP Básica y Grado Medio;Mujeres;Centros públicos;2015-2016;0
Extremadura;FP Grado Superior;Mujeres;Centros privados;2018-2019;0
Extremadura;FP Grado Superior;Hombres;Centros públicos;2015-2016;98
Extremadura;FP Grado Superior;Hombres;Centros públicos;2016-2017;86
Extremadura;FP Básica;Total;Todos los centros;2017-2018;0
Extremadura;FP Grado Medio y FP Grado Superior;Mujeres;Centros públicos;2016-2017;64
Extremadura;FP Básica y Grado Medio;Total;Centros privados;2016-2017;0
Extremadura;Total FP;Mujeres;Centros privados;2016-2017;0
Extremadura;FP Básica y Grado Medio;Hombres;Centros públicos;2016-2017;0
Extremadura;FP Grado Medio y FP Grado Superior;Total;Centros privados;2017-2018;0
Extremadura;FP Básica y Grado Medio;Mujeres;Todos los centros;2018-2019;0
Extremadura;FP Grado Superior;Mujeres;Centros privados;2016-2017;0
Extremadura;Total FP;Mujeres;Centros públicos;2017-2018;90
Extremadura;FP Grado Medio;Hombres;Centros públicos;2018-2019;0
Extremadura;FP Básica;Hombres;Todos los centros;2016-2017;0
Extremadura;FP Grado Medio;Total;Centros privados;2016-2017;0
Extremadura;FP Grado Superior;Total;Todos los centros;2017-2018;201
Extremadura;FP Básica y Grado Medio;Mujeres;Centros privados;2015-2016;0
Extremadura;FP Básica y Grado Medio;Mujeres;Todos los centros;2017-2018;0
Extremadura;FP Básica;Total;Centros públicos;2015-2016;0
Extremadura;FP Básica y Grado Medio;Hombres;Todos los centros;2018-2019;0
Extremadura;FP Grado Medio y FP Grado Superior;Hombres;Centros públicos;2018-2019;121
Extremadura;FP Grado Medio y FP Grado Superior;Hombres;Todos los centros;2017-2018;111
Extremadura;FP Básica;Mujeres;Centros públicos;2015-2016;0
Extremadura;FP Grado Medio;Mujeres;Todos los centros;2017-2018;0
Extremadura;FP Básica;Hombres;Centros públicos;2016-2017;0
Extremadura;Total FP;Mujeres;Todos los centros;2015-2016;53
Extremadura;Total FP;Hombres;Centros públicos;2017-2018;111
Extremadura;FP Básica y Grado Medio;Mujeres;Centros privados;2018-2019;0
Extremadura;FP Grado Superior;Hombres;Centros privados;2016-2017;0
Extremadura;FP Básica y Grado Medio;Mujeres;Todos los centros;2015-2016;0
Extremadura;FP Básica y Grado Medio;Total;Centros públicos;2015-2016;0
Extremadura;FP Básica y Grado Medio;Mujeres;Centros públicos;2017-2018;0
Extremadura;Total FP;Mujeres;Todos los centros;2017-2018;90
Extremadura;FP Grado Superior;Mujeres;Centros privados;2017-2018;0
Extremadura;FP Grado Superior;Total;Centros privados;2017-2018;0
Extremadura;FP Básica;Total;Centros públicos;2018-2019;0
Extremadura;Total FP;Total;Todos los centros;2015-2016;151
Extremadura;FP Básica;Total;Centros privados;2018-2019;0
Extremadura;Total FP;Hombres;Todos los centros;2017-2018;111
Extremadura;FP Grado Superior;Total;Todos los centros;2018-2019;213
Extremadura;FP Grado Superior;Total;Centros públicos;2015-2016;151
Extremadura;FP Básica y Grado Medio;Mujeres;Centros públicos;2018-2019;0
Extremadura;FP Grado Medio;Mujeres;Centros públicos;2018-2019;0
Extremadura;Total FP;Total;Centros privados;2017-2018;0
Extremadura;FP Grado Medio;Total;Centros públicos;2015-2016;0
Extremadura;FP Grado Medio;Total;Centros privados;2018-2019;0
Extremadura;FP Básica y Grado Medio;Hombres;Todos los centros;2015-2016;0
Extremadura;FP Grado Superior;Total;Centros públicos;2018-2019;213
Extremadura;FP Grado Medio;Hombres;Centros públicos;2015-2016;0
Extremadura;Total FP;Hombres;Centros públicos;2018-2019;121
Extremadura;FP Básica;Hombres;Todos los centros;2018-2019;0
Extremadura;FP Básica;Mujeres;Centros privados;2016-2017;0
Extremadura;FP Básica;Hombres;Todos los centros;2015-2016;0
Extremadura;FP Básica y Grado Medio;Hombres;Centros públicos;2017-2018;0
Extremadura;FP Básica;Total;Centros privados;2016-2017;0
Extremadura;FP Grado Medio y FP Grado Superior;Hombres;Centros públicos;2016-2017;86
Extremadura;FP Grado Medio;Mujeres;Centros privados;2018-2019;0
Extremadura;FP Grado Medio y FP Grado Superior;Total;Centros públicos;2018-2019;213
Extremadura;FP Grado Medio;Total;Todos los centros;2018-2019;0
Extremadura;FP Grado Medio y FP Grado Superior;Mujeres;Centros privados;2018-2019;0
Extremadura;FP Básica;Mujeres;Todos los centros;2016-2017;0
Extremadura;FP Grado Medio y FP Grado Superior;Total;Centros privados;2018-2019;0
Extremadura;FP Básica;Hombres;Centros públicos;2018-2019;0
Extremadura;Total FP;Hombres;Centros privados;2018-2019;0
Extremadura;FP Básica y Grado Medio;Hombres;Centros privados;2017-2018;0
Extremadura;FP Básica y Grado Medio;Total;Centros privados;2017-2018;0
Extremadura;FP Grado Medio y FP Grado Superior;Mujeres;Centros privados;2015-2016;0
Extremadura;FP Básica;Total;Centros privados;2017-2018;0
Extremadura;Total FP;Total;Centros privados;2016-2017;0
Extremadura;FP Básica y Grado Medio;Mujeres;Centros privados;2016-2017;0
Extremadura;FP Básica;Total;Centros públicos;2016-2017;0
Extremadura;FP Grado Medio y FP Grado Superior;Hombres;Centros públicos;2015-2016;98
Extremadura;FP Grado Medio;Total;Todos los centros;2017-2018;0
Extremadura;FP Grado Medio y FP Grado Superior;Total;Todos los centros;2017-2018;201
Extremadura;FP Grado Medio;Mujeres;Todos los centros;2016-2017;0
Extremadura;FP Grado Superior;Total;Centros públicos;2016-2017;150
Extremadura;Total FP;Mujeres;Centros públicos;2015-2016;53
Extremadura;FP Básica y Grado Medio;Hombres;Todos los centros;2016-2017;0
Extremadura;FP Grado Medio y FP Grado Superior;Hombres;Centros privados;2015-2016;0
Extremadura;FP Grado Superior;Mujeres;Centros públicos;2018-2019;92
Extremadura;Total FP;Hombres;Centros privados;2015-2016;0
Extremadura;FP Básica y Grado Medio;Total;Todos los centros;2017-2018;0
Extremadura;Total FP;Total;Centros públicos;2018-2019;213
Extremadura;Total FP;Mujeres;Todos los centros;2018-2019;92
Extremadura;FP Básica y Grado Medio;Total;Todos los centros;2015-2016;0
Extremadura;FP Grado Medio y FP Grado Superior;Hombres;Todos los centros;2018-2019;121
Extremadura;FP Básica;Hombres;Centros privados;2015-2016;0
Extremadura;FP Básica;Hombres;Centros privados;2018-2019;0
Extremadura;FP Grado Medio;Hombres;Centros privados;2015-2016;0
Extremadura;Total FP;Hombres;Centros privados;2016-2017;0
Extremadura;FP Grado Medio y FP Grado Superior;Total;Centros públicos;2017-2018;201
Extremadura;FP Grado Medio y FP Grado Superior;Hombres;Centros públicos;2017-2018;111
Extremadura;FP Básica;Hombres;Centros públicos;2017-2018;0
Extremadura;FP Grado Medio;Total;Centros privados;2017-2018;0
Extremadura;FP Grado Superior;Hombres;Todos los centros;2016-2017;86
Extremadura;FP Grado Superior;Mujeres;Todos los centros;2016-2017;64
Extremadura;FP Grado Medio y FP Grado Superior;Total;Centros privados;2016-2017;0
Extremadura;FP Básica y Grado Medio;Total;Centros privados;2015-2016;0
Extremadura;FP Grado Superior;Hombres;Centros privados;2018-2019;0
Cataluña;FP Grado Medio;Hombres;Centros públicos;2015-2016;960
Cataluña;Total FP;Total;Todos los centros;2016-2017;7152
Cataluña;FP Grado Medio y FP Grado Superior;Hombres;Todos los centros;2018-2019;4242
Cataluña;FP Grado Medio y FP Grado Superior;Total;Centros privados;2016-2017;1919
Cataluña;FP Grado Superior;Total;Centros públicos;2018-2019;3339
Cataluña;FP Grado Medio y FP Grado Superior;Mujeres;Centros públicos;2018-2019;1863
Cataluña;FP Básica y Grado Medio;Total;Centros públicos;2018-2019;1709
Cataluña;Total FP;Total;Todos los centros;2015-2016;4579
Cataluña;FP Grado Medio y FP Grado Superior;Mujeres;Centros privados;2016-2017;727
Cataluña;FP Grado Superior;Total;Centros públicos;2015-2016;1751
Cataluña;FP Grado Medio y FP Grado Superior;Mujeres;Centros públicos;2017-2018;1643
Cataluña;FP Grado Medio y FP Grado Superior;Total;Centros privados;2015-2016;1288
Cataluña;FP Grado Superior;Mujeres;Todos los centros;2018-2019;1791
Cataluña;FP Grado Medio;Mujeres;Todos los centros;2016-2017;998
Cataluña;FP Básica;Hombres;Centros públicos;2016-2017;0
Cataluña;FP Básica y Grado Medio;Mujeres;Centros públicos;2015-2016;580
Cataluña;FP Básica y Grado Medio;Mujeres;Todos los centros;2018-2019;794
Cataluña;Total FP;Hombres;Centros privados;2018-2019;1057
Cataluña;FP Grado Medio;Mujeres;Centros públicos;2018-2019;613
Cataluña;FP Básica;Total;Centros públicos;2016-2017;0
Cataluña;FP Grado Medio;Total;Centros públicos;2018-2019;1709
Cataluña;Total FP;Hombres;Todos los centros;2018-2019;4242
Cataluña;FP Grado Medio;Mujeres;Centros públicos;2016-2017;815
Cataluña;FP Grado Medio y FP Grado Superior;Total;Centros públicos;2017-2018;4589
Cataluña;FP Grado Superior;Mujeres;Todos los centros;2017-2018;1633
Cataluña;FP Básica;Mujeres;Todos los centros;2017-2018;0
Cataluña;FP Grado Medio y FP Grado Superior;Hombres;Todos los centros;2016-2017;4303
Cataluña;FP Grado Medio y FP Grado Superior;Total;Centros públicos;2018-2019;5048
Cataluña;FP Grado Medio;Hombres;Centros privados;2017-2018;322
Cataluña;FP Grado Superior;Hombres;Centros públicos;2016-2017;1963
Cataluña;FP Grado Superior;Hombres;Todos los centros;2015-2016;1680
Cataluña;FP Grado Medio;Mujeres;Centros privados;2017-2018;179
Cataluña;FP Básica;Total;Todos los centros;2015-2016;0
Cataluña;FP Grado Medio;Hombres;Centros públicos;2016-2017;1148
Cataluña;FP Básica;Total;Todos los centros;2017-2018;0
Cataluña;FP Básica;Total;Centros privados;2015-2016;0
Cataluña;FP Grado Medio y FP Grado Superior;Hombres;Centros privados;2017-2018;985
Cataluña;FP Grado Superior;Total;Centros privados;2015-2016;908
Cataluña;FP Básica;Total;Centros públicos;2017-2018;0
Cataluña;Total FP;Hombres;Centros públicos;2015-2016;2058
Cataluña;FP Básica y Grado Medio;Total;Todos los centros;2017-2018;1983
Cataluña;FP Básica;Hombres;Centros privados;2017-2018;0
Cataluña;FP Básica;Mujeres;Todos los centros;2015-2016;0
Cataluña;FP Grado Superior;Hombres;Centros privados;2015-2016;582
Cataluña;FP Básica;Hombres;Centros privados;2015-2016;0
Cataluña;FP Básica y Grado Medio;Mujeres;Todos los centros;2015-2016;674
Cataluña;FP Grado Superior;Hombres;Todos los centros;2017-2018;2637
Cataluña;FP Grado Medio y FP Grado Superior;Total;Todos los centros;2015-2016;4579
Cataluña;FP Grado Superior;Total;Todos los centros;2018-2019;4555
Cataluña;FP Básica;Total;Todos los centros;2016-2017;0
Cataluña;FP Grado Superior;Hombres;Centros privados;2018-2019;675
Cataluña;FP Grado Medio;Hombres;Centros públicos;2017-2018;972
Cataluña;FP Grado Superior;Total;Centros privados;2018-2019;1216
Cataluña;FP Grado Medio;Mujeres;Centros públicos;2017-2018;510
Cataluña;FP Grado Superior;Total;Centros públicos;2017-2018;3107
Cataluña;FP Grado Medio y FP Grado Superior;Total;Todos los centros;2016-2017;7152
Cataluña;FP Básica y Grado Medio;Hombres;Centros privados;2018-2019;382
Cataluña;Total FP;Hombres;Todos los centros;2017-2018;3931
Cataluña;FP Básica y Grado Medio;Hombres;Centros privados;2016-2017;359
Cataluña;FP Básica;Hombres;Centros públicos;2017-2018;0
Cataluña;FP Grado Superior;Hombres;Centros públicos;2018-2019;2089
Cataluña;FP Grado Superior;Total;Todos los centros;2017-2018;4270
Cataluña;FP Básica;Hombres;Todos los centros;2015-2016;0
Cataluña;Total FP;Hombres;Centros públicos;2018-2019;3185
Cataluña;FP Grado Medio;Mujeres;Centros privados;2015-2016;94
Cataluña;FP Grado Medio;Hombres;Centros privados;2016-2017;359
Cataluña;Total FP;Total;Centros públicos;2015-2016;3291
Cataluña;Total FP;Mujeres;Centros públicos;2017-2018;1643
Cataluña;FP Grado Medio;Hombres;Todos los centros;2017-2018;1294
Cataluña;FP Básica y Grado Medio;Total;Centros públicos;2015-2016;1540
Cataluña;FP Básica;Hombres;Centros privados;2016-2017;0
Cataluña;FP Básica;Mujeres;Centros privados;2015-2016;0
Cataluña;Total FP;Mujeres;Todos los centros;2016-2017;2849
Cataluña;Total FP;Total;Centros privados;2018-2019;1779
Cataluña;FP Grado Medio;Hombres;Centros públicos;2018-2019;1096
Cataluña;FP Básica y Grado Medio;Total;Centros privados;2018-2019;563
Cataluña;FP Grado Medio;Hombres;Centros privados;2018-2019;382
Cataluña;FP Grado Medio y FP Grado Superior;Mujeres;Todos los centros;2016-2017;2849
Cataluña;FP Grado Medio;Mujeres;Todos los centros;2015-2016;674
Cataluña;FP Grado Medio;Total;Centros privados;2015-2016;380
Cataluña;FP Básica y Grado Medio;Mujeres;Centros públicos;2016-2017;815
Cataluña;FP Básica y Grado Medio;Hombres;Centros públicos;2016-2017;1148
Cataluña;FP Grado Superior;Hombres;Centros públicos;2017-2018;1974
Cataluña;FP Grado Superior;Total;Centros privados;2017-2018;1163
Cataluña;FP Básica;Total;Centros públicos;2018-2019;0
Cataluña;FP Básica y Grado Medio;Mujeres;Centros privados;2015-2016;94
Cataluña;FP Básica y Grado Medio;Hombres;Centros públicos;2015-2016;960
Cataluña;FP Grado Superior;Hombres;Todos los centros;2018-2019;2764
Cataluña;FP Básica y Grado Medio;Total;Todos los centros;2015-2016;1920
Cataluña;FP Básica;Mujeres;Todos los centros;2018-2019;0
Cataluña;FP Grado Medio y FP Grado Superior;Hombres;Centros públicos;2017-2018;2946
Cataluña;FP Básica y Grado Medio;Hombres;Centros privados;2015-2016;286
Cataluña;FP Grado Medio;Total;Todos los centros;2018-2019;2272
Cataluña;FP Básica y Grado Medio;Mujeres;Centros privados;2016-2017;183
Cataluña;FP Grado Superior;Mujeres;Centros públicos;2018-2019;1250
Cataluña;FP Básica;Mujeres;Centros públicos;2016-2017;0
Cataluña;FP Grado Medio y FP Grado Superior;Mujeres;Centros privados;2015-2016;420
Cataluña;FP Básica;Total;Centros públicos;2015-2016;0
Cataluña;FP Básica;Mujeres;Centros públicos;2017-2018;0
Cataluña;FP Grado Superior;Mujeres;Centros públicos;2016-2017;1307
Cataluña;FP Grado Medio y FP Grado Superior;Total;Centros privados;2017-2018;1664
Cataluña;FP Básica y Grado Medio;Mujeres;Centros privados;2018-2019;181
Cataluña;FP Básica;Mujeres;Centros privados;2017-2018;0
Cataluña;FP Básica y Grado Medio;Hombres;Centros públicos;2017-2018;972
Cataluña;FP Básica y Grado Medio;Hombres;Todos los centros;2018-2019;1478
Cataluña;FP Grado Medio y FP Grado Superior;Hombres;Centros públicos;2016-2017;3111
Cataluña;FP Básica;Mujeres;Centros privados;2018-2019;0
Cataluña;FP Grado Superior;Total;Todos los centros;2015-2016;2659
Cataluña;FP Básica y Grado Medio;Total;Centros públicos;2017-2018;1482
Cataluña;FP Básica;Total;Todos los centros;2018-2019;0
Cataluña;FP Grado Superior;Hombres;Centros privados;2017-2018;663
Cataluña;FP Grado Medio y FP Grado Superior;Hombres;Centros públicos;2018-2019;3185
Cataluña;Total FP;Mujeres;Centros públicos;2018-2019;1863
Cataluña;FP Grado Superior;Hombres;Centros privados;2016-2017;833
Cataluña;Total FP;Total;Centros privados;2016-2017;1919
Cataluña;FP Grado Superior;Mujeres;Centros privados;2017-2018;500
Cataluña;FP Grado Medio y FP Grado Superior;Mujeres;Centros públicos;2016-2017;2122
Cataluña;FP Grado Medio;Mujeres;Todos los centros;2018-2019;794
Cataluña;Total FP;Mujeres;Centros públicos;2015-2016;1233
Cataluña;Total FP;Total;Centros públicos;2018-2019;5048
Cataluña;FP Grado Superior;Mujeres;Todos los centros;2015-2016;979
